20:39:25:100 ;10 ;535 ;-1 ;180
20:39:25:164 ;-17 ;-6 ;0 ;0
20:39:25:236 ;-17 ;-6 ;0 ;0
20:39:25:323 ;-17 ;-6 ;0 ;0
20:39:25:384 ;-17 ;-6 ;0 ;0
20:39:25:453 ;-17 ;-6 ;0 ;0
20:39:25:545 ;-17 ;-6 ;0 ;0
20:39:25:639 ;-17 ;-6 ;0 ;0
20:39:25:731 ;-17 ;-6 ;0 ;0
20:39:25:827 ;-17 ;-6 ;0 ;0
20:39:25:920 ;-17 ;-6 ;0 ;0
20:39:26:13 ;-17 ;-6 ;0 ;0
20:39:26:75 ;-17 ;-6 ;0 ;0
20:39:26:135 ;-17 ;-6 ;0 ;0
20:39:26:216 ;-17 ;-6 ;0 ;0
20:39:26:305 ;-17 ;-6 ;0 ;0
20:39:26:372 ;-17 ;-6 ;0 ;0
20:39:26:439 ;-17 ;-7 ;0 ;0
20:39:26:549 ;-17 ;-7 ;0 ;0
20:39:26:661 ;-16 ;-7 ;0 ;0
20:39:26:761 ;-16 ;-7 ;0 ;0
20:39:26:854 ;-16 ;-7 ;0 ;0
20:39:26:945 ;-16 ;-7 ;0 ;0
20:39:27:12 ;-16 ;-7 ;0 ;0
20:39:27:78 ;-16 ;-7 ;0 ;0
20:39:27:172 ;-16 ;-7 ;0 ;0
20:39:27:267 ;-16 ;-7 ;0 ;0
20:39:27:376 ;-16 ;-7 ;0 ;0
20:39:27:465 ;-16 ;-7 ;0 ;0
20:39:27:531 ;-16 ;-7 ;0 ;0
20:39:27:627 ;-16 ;-7 ;0 ;0
20:39:27:736 ;-16 ;-7 ;0 ;0
20:39:27:847 ;-16 ;-7 ;0 ;0
20:39:27:955 ;-16 ;-7 ;0 ;0
20:39:28:67 ;-16 ;-7 ;0 ;0
20:39:28:161 ;-16 ;-7 ;0 ;0
20:39:28:251 ;-16 ;-7 ;0 ;0
20:39:28:347 ;-16 ;-7 ;0 ;0
20:39:28:445 ;-16 ;-7 ;0 ;0
20:39:28:531 ;-16 ;-7 ;0 ;0
20:39:28:627 ;-16 ;-8 ;0 ;0
20:39:28:721 ;-16 ;-8 ;0 ;0
20:39:28:834 ;-16 ;-8 ;0 ;0
20:39:28:933 ;-16 ;-8 ;0 ;0
20:39:29:27 ;-16 ;-8 ;0 ;0
20:39:29:120 ;-16 ;-8 ;0 ;0
20:39:29:213 ;-16 ;-8 ;0 ;0
20:39:29:304 ;-16 ;-8 ;0 ;0
20:39:29:371 ;-16 ;-8 ;0 ;0
20:39:29:438 ;-16 ;-8 ;0 ;0
20:39:29:536 ;-16 ;-8 ;0 ;0
20:39:29:624 ;-16 ;-8 ;0 ;0
20:39:29:720 ;-16 ;-8 ;0 ;0
20:39:29:811 ;-16 ;-8 ;0 ;0
20:39:29:906 ;-16 ;-8 ;0 ;0
20:39:30:15 ;-16 ;-8 ;0 ;0
20:39:30:126 ;-16 ;-8 ;0 ;0
20:39:30:235 ;-16 ;-8 ;0 ;0
20:39:30:346 ;-16 ;-8 ;0 ;0
20:39:30:463 ;-16 ;-8 ;0 ;0
20:39:30:548 ;-16 ;-8 ;0 ;0
20:39:30:659 ;-16 ;-9 ;0 ;0
20:39:30:773 ;-16 ;-9 ;0 ;0
20:39:30:864 ;-16 ;-9 ;0 ;0
20:39:30:930 ;-16 ;-9 ;0 ;0
